# Time-averaged data for fix velpos
# TimeStep v_vcmx v_vcmy v_vcmz v_xcmx v_xcmy v_xcmz
2000000 0.00449568 -0.00171828 0.00100252 -7.36128 12.1739 -71.1525
2000010 0.00503106 0.000546525 0.000146447 -7.31533 12.1679 -71.1474
2000020 0.00693914 0.00235223 -0.000617557 -7.25603 12.1833 -71.149
2000030 0.00853075 0.00274077 -0.00246738 -7.17767 12.2099 -71.1637
2000040 0.00873272 0.00255168 -0.00476126 -7.09022 12.2362 -71.1998
2000050 0.00802422 0.00270642 -0.00664849 -7.00608 12.2624 -71.2575
2000060 0.00722825 0.00238026 -0.00821176 -6.92972 12.2888 -71.3316
2000070 0.00574337 0.000867036 -0.00984489 -6.86397 12.3057 -71.4222
2000080 0.00358844 -0.000588951 -0.010228 -6.8172 12.3064 -71.5243
2000090 0.00197138 -0.000977644 -0.0088283 -6.79037 12.2978 -71.6206
2000100 0.0011427 -0.00177721 -0.00682612 -6.77493 12.2853 -71.699
2000110 0.000467985 -0.00344157 -0.00531949 -6.76705 12.2592 -71.7589
2000120 9.76549e-05 -0.00461062 -0.00373431 -6.76489 12.2182 -71.8051
2000130 0.00109023 -0.00481193 -0.00120749 -6.76014 12.1704 -71.8302
2000140 0.0024155 -0.00482481 0.000814302 -6.74207 12.1223 -71.831
2000150 0.00243567 -0.00480594 0.00152784 -6.71623 12.0743 -71.8185
2000160 0.00107228 -0.00523025 0.00176979 -6.69816 12.0245 -71.8019
2000170 -0.000291757 -0.00568181 0.00184393 -6.6947 11.9695 -71.7837
2000180 -0.00061428 -0.00507221 0.00200144 -6.70053 11.9145 -71.7648
2000190 0.000442476 -0.0030544 0.00245145 -6.70217 11.8728 -71.7425
2000200 0.00163042 -0.000507037 0.00243225 -6.69134 11.8553 -71.7175
2000210 0.00205694 0.00105381 0.00221856 -6.67217 11.8592 -71.6944
2000220 0.00168449 0.00142955 0.00234529 -6.65286 11.8723 -71.672
2000230 0.000732821 0.0016705 0.00296022 -6.64042 11.8875 -71.6459
2000240 -0.000130062 0.0020397 0.00382312 -6.63799 11.9062 -71.6119
2000250 3.10094e-05 0.0021196 0.00418457 -6.63943 11.9273 -71.5712
2000260 0.000316567 0.00120711 0.00333296 -6.63672 11.9453 -71.5322
2000270 -0.000745401 -0.000998106 0.00154933 -6.63816 11.9469 -71.508
2000280 -0.00172048 -0.00280434 0.00123105 -6.65094 11.927 -71.4958
2000290 -0.00200295 -0.00363051 0.00164947 -6.67055 11.8937 -71.4811
2000300 -0.00115671 -0.00272592 0.00159142 -6.68687 11.8605 -71.4643
2000310 -0.000662508 -0.00101845 0.000509063 -6.69502 11.8418 -71.4529
2000320 -0.00140347 0.000211035 -0.000993882 -6.70438 11.8385 -71.4556
2000330 -0.00261063 0.00044746 -0.00186067 -6.72476 11.8426 -71.4705
2000340 -0.00284827 6.59606e-05 -0.00189161 -6.75308 11.8453 -71.4902
2000350 -0.00250518 0.00110921 -0.000962202 -6.77976 11.8487 -71.5049
2000360 -0.0023352 0.00387578 0.000494376 -6.80398 11.8737 -71.5076
2000370 -0.00185443 0.00663192 0.00199102 -6.82556 11.9256 -71.4952
2000380 -0.000662616 0.00929227 0.00350789 -6.83809 12.0065 -71.4673
2000390 -8.59677e-05 0.00945213 0.00394725 -6.84163 12.1025 -71.4292
2000400 0.00036522 0.00812703 0.00400703 -6.83952 12.1909 -71.3893
2000410 -0.000828767 0.00646831 0.00368429 -6.84034 12.2639 -71.3503
2000420 -0.00217503 0.00483899 0.00247639 -6.85645 12.3207 -71.3184
2000430 -0.00273775 0.00311784 0.000103134 -6.88112 12.36 -71.305
2000440 -0.00290473 0.0018316 -0.00157167 -6.91014 12.3847 -71.3142
2000450 -0.00206372 0.000466448 -0.000871087 -6.93559 12.3964 -71.3279
2000460 -0.000745353 -0.00109363 0.000642763 -6.95003 12.3932 -71.3292
2000470 0.00129913 -0.00226145 0.00190121 -6.94796 12.3758 -71.3158
2000480 0.00323407 -0.00235185 0.00230822 -6.92419 12.3517 -71.2944
2000490 0.00368877 -0.00125437 0.00337032 -6.88868 12.3327 -71.2672
2000500 0.00358085 0.000724224 0.00521074 -6.85201 12.3297 -71.2242
2000510 0.00286647 0.00179403 0.00581274 -6.8191 12.3442 -71.167
2000520 0.0013215 0.00040996 0.00412937 -6.79734 12.3569 -71.1159
2000530 -0.00174753 -0.00143226 1.74051e-05 -6.79775 12.3513 -71.0924
2000540 -0.00454148 -0.00219017 -0.00375361 -6.83208 12.3317 -71.1152
2000550 -0.00303073 -0.00183325 -0.00207682 -6.87353 12.3113 -71.1478
2000560 0.00190934 -0.00119019 0.0011359 -6.88094 12.2958 -71.1523
2000570 0.0050982 0.000481287 0.00330005 -6.84151 12.2912 -71.1285
2000580 0.00419782 0.00207693 0.00417753 -6.79344 12.3051 -71.0908
2000590 0.0028677 0.00254159 0.0043913 -6.75819 12.3286 -71.0469
2000600 0.00147984 0.00280449 0.0034131 -6.73648 12.3555 -71.0071
2000610 0.000208853 0.00293107 0.00216611 -6.72801 12.3841 -70.9795
2000620 -0.0013987 0.003051 0.00102672 -6.73354 12.4143 -70.9633
2000630 -0.00330145 0.00281755 -0.000418588 -6.75704 12.4438 -70.9602
2000640 -0.00475377 0.00245571 -0.00154046 -6.79801 12.4704 -70.9704
2000650 -0.00543212 0.00166737 -0.00250066 -6.84956 12.4915 -70.9905
2000660 -0.00498205 0.000140474 -0.00377876 -6.90298 12.5013 -71.0216
2000670 -0.00319529 -0.00206342 -0.00481202 -6.94448 12.492 -71.0653
2000680 -0.0015203 -0.00404726 -0.00476682 -6.96748 12.4606 -71.1141
2000690 -0.000300932 -0.00421219 -0.00421304 -6.97647 12.4173 -71.159
2000700 0.000965549 -0.00249465 -0.00354043 -6.97326 12.3828 -71.198
2000710 0.00209276 -0.000633602 -0.00247915 -6.95753 12.3677 -71.2285
2000720 0.00252131 0.00057569 -0.00122764 -6.93384 12.3677 -71.2469
2000730 0.00229625 0.00196101 -0.000265693 -6.90926 12.38 -71.254
2000740 0.00183094 0.00378889 0.000126621 -6.88883 12.4084 -71.2542
2000750 0.00186339 0.00584273 0.000145706 -6.87072 12.4567 -71.2527
2000760 0.00172178 0.00717175 0.000220363 -6.85216 12.5227 -71.251
2000770 0.000573491 0.00749802 0.000561779 -6.83978 12.5968 -71.2474
2000780 -0.00133904 0.0072118 0.000581681 -6.84309 12.6705 -71.2406
2000790 -0.0038381 0.00709201 -0.00132025 -6.86874 12.7416 -71.2425
2000800 -0.00553954 0.00692873 -0.00406158 -6.91715 12.8126 -71.2701
2000810 -0.00561892 0.00491248 -0.0044219 -6.974 12.8736 -71.3156
2000820 -0.00455566 0.00187754 -0.0016473 -7.02558 12.9072 -71.3476
2000830 -0.00355274 0.000262611 0.00179702 -7.06553 12.9163 -71.3465
2000840 -0.00338871 -0.000278966 0.00416006 -7.09935 12.916 -71.3154
2000850 -0.00413265 -0.000646274 0.00516072 -7.1365 12.9114 -71.268
2000860 -0.00498867 -0.0011713 0.0053363 -7.18235 12.9023 -71.2147
2000870 -0.00520139 -0.0015935 0.0045804 -7.23404 12.8885 -71.1646
2000880 -0.00471145 -0.0024915 0.00384509 -7.28407 12.8688 -71.1228
2000890 -0.003554 -0.00439151 0.0035896 -7.32607 12.8353 -71.0861
2000900 -0.0016844 -0.00640017 0.00350493 -7.35285 12.7803 -71.0503
2000910 0.0008883 -0.00684467 0.00256323 -7.35716 12.713 -71.0192
2000920 0.00292104 -0.0066289 0.00135336 -7.33692 12.6454 -70.9999
2000930 0.00286126 -0.00610959 0.000677447 -7.30565 12.5813 -70.9903
2000940 0.000412634 -0.00476881 0.000732488 -7.28819 12.5259 -70.9839
2000950 -0.00221325 -0.00227941 0.00137399 -7.29753 12.49 -70.9737
2000960 -0.00410568 7.37983e-06 0.0024634 -7.33016 12.4795 -70.9549
2000970 -0.00458992 0.00139882 0.00347573 -7.37485 12.4872 -70.9246
2000980 -0.00388339 0.00170839 0.00330959 -7.41786 12.5038 -70.8895
2000990 -0.00324051 0.00125987 0.00263583 -7.45285 12.5189 -70.8603
2001000 -0.00310455 0.000722945 0.00299206 -7.48449 12.5286 -70.8329
2001010 -0.00317405 0.000584368 0.0034667 -7.51549 12.535 -70.8001
2001020 -0.00320543 -2.8382e-05 0.00294645 -7.54816 12.5385 -70.7671
2001030 -0.00208451 -0.00146745 0.00192882 -7.57537 12.5317 -70.7428
2001040 -0.000857676 -0.00315951 0.00139219 -7.58965 12.5081 -70.7268
2001050 -0.000219629 -0.00369867 0.000962326 -7.59457 12.4726 -70.7143
2001060 0.000421491 -0.00358119 -0.000816771 -7.59397 12.4364 -70.7128
2001070 0.00112623 -0.00406677 -0.0023696 -7.58581 12.3987 -70.7295
2001080 0.00122872 -0.00451248 -0.00319363 -7.57354 12.3553 -70.7578
2001090 0.000931586 -0.00449302 -0.00353354 -7.56264 12.31 -70.7917
2001100 0.0007181 -0.00399658 -0.00361205 -7.55453 12.2671 -70.8275
2001110 0.00055564 -0.00312687 -0.00359445 -7.54811 12.2312 -70.8638
2001120 0.000187004 -0.00200419 -0.00313539 -7.54414 12.2054 -70.8978
2001130 -0.00030258 -0.000717339 -0.00238424 -7.54475 12.1918 -70.9256
2001140 -0.000708963 0.000246043 -0.0015474 -7.54994 12.1899 -70.9451
2001150 -0.000813926 0.000794555 -0.00113703 -7.55787 12.1953 -70.958
2001160 -0.000676277 0.00115116 -0.00110925 -7.56544 12.2052 -70.9692
2001170 -0.000318095 0.00117924 -0.0009811 -7.57072 12.2172 -70.9798
2001180 0.000426858 0.000849084 -0.000831701 -7.57041 12.2276 -70.9888
2001190 0.000917697 0.000182524 -0.00077312 -7.56297 12.233 -70.9967
2001200 0.000344388 -0.000616253 -0.000608311 -7.55581 12.2308 -71.0039
2001210 -0.000718793 -0.00125349 -0.00032023 -7.55763 12.2213 -71.0083
2001220 -0.00186499 -0.00178146 -0.000964598 -7.57037 12.206 -71.0136
2001230 -0.00303163 -0.0017391 -0.00237895 -7.59525 12.1876 -71.0303
2001240 -0.0030668 -0.000784762 -0.00342354 -7.62701 12.1744 -71.0597
2001250 -0.00170686 0.000417626 -0.0040529 -7.65211 12.1727 -71.0976
2001260 0.000527522 0.00103571 -0.00376092 -7.6578 12.1809 -71.1374
2001270 0.00197473 0.000521864 -0.0031311 -7.64476 12.1892 -71.1718
2001280 0.00301414 -0.000107492 -0.00248054 -7.61915 12.1912 -71.2
2001290 0.00229854 -0.000424694 -0.00162877 -7.59058 12.188 -71.2207
2001300 6.87078e-05 -0.00014782 -0.00101307 -7.57829 12.1849 -71.2334
2001310 -0.00229372 0.000187493 -0.00116449 -7.58952 12.1852 -71.2435
2001320 -0.00417584 0.000456071 -0.0021759 -7.62262 12.1884 -71.2597
2001330 -0.00516628 0.00073667 -0.00337554 -7.66988 12.1944 -71.2875
2001340 -0.0059768 0.000635808 -0.00436905 -7.72545 12.2018 -71.3266
2001350 -0.0067701 -0.000140116 -0.00453457 -7.78949 12.2047 -71.3721
2001360 -0.00690569 -0.000943913 -0.00391585 -7.8586 12.1992 -71.4146
2001370 -0.00599213 -0.00244597 -0.00309202 -7.92422 12.1837 -71.4499
2001380 -0.00331843 -0.00569444 -0.00160129 -7.97251 12.1439 -71.4742
2001390 0.000303781 -0.0085303 0.000720348 -7.9869 12.0712 -71.4791
2001400 0.00147099 -0.00867963 0.00353423 -7.97518 11.9826 -71.4583
2001410 7.88065e-05 -0.00668419 0.00646068 -7.96606 11.9046 -71.4075
2001420 -0.00199057 -0.00347718 0.0074465 -7.9761 11.8533 -71.3359
2001430 -0.00217274 -0.000973952 0.00582117 -7.99916 11.8322 -71.2675
2001440 -0.000562405 0.00130403 0.00283423 -8.01343 11.8331 -71.2238
2001450 0.000744438 0.0044168 -0.000228072 -8.01147 11.8612 -71.2112
2001460 0.000390983 0.00749101 -0.00204725 -8.00429 11.9215 -71.2241
2001470 -0.00118474 0.00906089 -0.00262807 -8.00786 12.0059 -71.2478
2001480 -0.00191857 0.00853317 -0.00320439 -8.0252 12.0958 -71.2769
2001490 -0.000469155 0.00571772 -0.003301 -8.03849 12.1687 -71.3104
2001500 0.00119711 0.00224249 -0.00205148 -8.03391 12.208 -71.3381
2001510 0.00115195 -0.000228999 -0.000880666 -8.0206 12.217 -71.3517
2001520 0.00017863 -0.00143811 -0.00127121 -8.01396 12.2077 -71.3612
2001530 -0.000487495 -0.00156303 -0.00244979 -8.01581 12.1918 -71.3799
2001540 -0.00116037 -0.00089341 -0.00293999 -8.02367 12.1791 -71.4076
2001550 -0.00232711 -0.000275293 -0.0030221 -8.04086 12.1737 -71.4373
2001560 -0.003315 -0.00044477 -0.00335652 -8.0695 12.1709 -71.4691
2001570 -0.00403582 -0.000830727 -0.00347219 -8.1062 12.164 -71.5035
2001580 -0.00488068 -0.000221896 -0.00328187 -8.15084 12.1578 -71.5375
2001590 -0.00487354 0.0008329 -0.00293481 -8.201 12.1611 -71.5687
2001600 -0.00332438 0.00145874 -0.00252743 -8.24285 12.1729 -71.596
2001610 -0.00155077 0.00179548 -0.00213738 -8.26703 12.1893 -71.6194
2001620 0.000166998 0.00195795 -0.00147995 -8.27398 12.2081 -71.638
2001630 0.00210249 0.00261984 -0.000289062 -8.26316 12.2304 -71.6467
2001640 0.00456713 0.00363696 -0.00088344 -8.22971 12.2613 -71.6496
2001650 0.00613471 0.00612221 -0.00471704 -8.17516 12.3086 -71.676
2001660 0.00688201 0.00836862 -0.00810161 -8.10972 12.3827 -71.7425
2001670 0.00720772 0.00962908 -0.00748949 -8.03889 12.4725 -71.8239
2001680 0.00734136 0.0103498 -0.00476094 -7.96604 12.5738 -71.8851
2001690 0.00692481 0.00937863 -0.00372893 -7.89406 12.6736 -71.9255
2001700 0.00603008 0.00714544 -0.00400335 -7.82903 12.7573 -71.964
2001710 0.00431067 0.00365842 -0.00382799 -7.77598 12.8125 -72.004
2001720 0.00123314 -0.000558825 -0.00209208 -7.74794 12.8274 -72.0352
